"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.00140796107035397,0.58444175303888,0.488,0.233,1,"14","WAS"
0.00141878426411621,0.541985956234208,0.86,0.571,1,"14","DUSP1"
0.00142237195712969,0.491616140748566,0.512,0.246,1,"14","GLYR1"
0.00142981021199543,0.423040253609357,0.767,0.401,1,"14","TBCA"
0.00143223243325662,0.372077772742101,0.488,0.223,1,"14","TAF2"
0.00143823631332232,0.471048688274589,0.605,0.288,1,"14","PARP1"
0.00144378088429066,0.301207367388741,0.465,0.203,1,"14","SF3B6"
0.00144777733981957,0.430114249638286,0.605,0.3,1,"14","RBM8A"
0.00144959099697344,0.475778602403146,0.698,0.364,1,"14","TACC1"
0.00147337934497459,0.598344557137265,0.419,0.183,1,"14","SPAST"
0.00147374951116189,0.416724337993211,0.651,0.318,1,"14","EIF3J"
0.001479805537086,0.464412296899492,0.86,0.465,1,"14","PREX1"
0.00148083737231555,0.630189793796479,0.349,0.155,1,"14","GCNT2"
0.00149282575887919,0.437814646408793,0.302,0.118,1,"14","BECN1"
0.0015037175306319,0.48947122616578,0.279,0.107,1,"14","TRAPPC4"
0.00150444876454018,0.462895837033014,0.558,0.27,1,"14","PSMA6"
0.00150608820651096,0.259214121877041,0.628,0.301,1,"14","HTT"
0.00151312637083258,0.5480713162626,0.326,0.135,1,"14","TIPARP"
0.00151697604370304,0.325365856113564,0.279,0.106,1,"14","RNF187"
0.00152187001265998,0.345328424962601,0.279,0.106,1,"14","NFKBIB"
0.00152977352596991,0.613907992130016,0.256,0.097,1,"14","MTLN"
0.00153306149617177,0.520832677414323,0.419,0.188,1,"14","PSMB2"
0.00153748444388412,0.524563868022096,0.814,0.506,1,"14","PTP4A2"
0.00154461967058832,0.296253588716405,0.302,0.117,1,"14","ACLY"
0.00154493167872161,0.382323700553721,0.814,0.428,1,"14","PSMB10"
0.00155001037065212,0.425106223621796,0.395,0.172,1,"14","AP3S2"
0.00155738639867047,0.448333911347047,0.465,0.21,1,"14","TMED5"
0.00158115139804427,0.51403509992352,0.302,0.12,1,"14","PCBD2"
0.00158502087957591,0.265375557551993,0.326,0.13,1,"14","GARS"
0.00159630350521032,0.504010635114455,0.698,0.352,1,"14","RTF1"
0.00159635901809058,0.288306988097185,0.558,0.259,1,"14","NASP"
0.00160347628678284,0.539017717680148,0.558,0.286,1,"14","MICOS10"
0.00162006016336694,0.591293616283447,0.512,0.254,1,"14","MSH3"
0.00162665710732632,0.490543300323338,0.698,0.365,1,"14","SNRPB"
0.00167327776716832,0.384698490786547,0.721,0.377,1,"14","PPHLN1"
0.00168279125252787,0.269292962249942,0.302,0.118,1,"14","SNHG16"
0.00168662272372477,0.290130324699478,0.628,0.317,1,"14","USP3-AS1"
0.00169180666355949,0.289592124275274,0.744,0.396,1,"14","XYLT1"
0.00169549696257934,0.302064035163804,0.442,0.193,1,"14","PANK2"
0.00170645537304991,0.808260414322211,0.814,0.467,1,"14","EZR"
0.00172287741085339,0.452464223657438,0.488,0.238,1,"14","ETFA"
0.00173579991395671,0.337258409166039,0.791,0.393,1,"14","CSK"
0.00174954186549629,0.579925736257276,0.326,0.133,1,"14","SLC37A1"
0.0017590373047407,0.326695713373036,0.535,0.247,1,"14","NDUFA10"
0.00176734883602458,0.464775724769188,0.558,0.271,1,"14","RTRAF"
0.00177982244114165,0.578455491795536,0.349,0.149,1,"14","TM7SF3"
0.00179091645403223,0.474686205091585,0.349,0.146,1,"14","RMND5A"
0.00179489178658282,0.432417327847761,0.651,0.332,1,"14","ATP5F1D"
0.00181990049357525,0.270027504756706,0.605,0.29,1,"14","PPA2"
0.001845498709663,0.669143676445254,0.442,0.213,1,"14","DOK2"
0.00184998690488633,0.592301914075739,0.256,0.098,1,"14","ZNF490"
0.00185391664000718,0.353529415649153,0.442,0.197,1,"14","SAP30BP"
0.00186250408968973,0.369355057701111,0.977,0.702,1,"14","MED13L"
0.00186796699927241,0.625457595296034,0.488,0.244,1,"14","SYAP1"
0.00188706199599805,0.398949434073533,0.465,0.215,1,"14","DNAJC15"
0.00191081079792425,0.539452613780762,0.256,0.097,1,"14","APOL2"
0.0019141805370787,0.515689397084034,0.651,0.333,1,"14","PPP2CA"
0.00191917662724071,0.656148388458682,0.256,0.099,1,"14","DHRS4-AS1"
0.00192360025066115,0.698956733954276,0.279,0.11,1,"14","TRAPPC2L"
0.0019524954567616,0.305544051589421,0.558,0.271,1,"14","TFCP2"
0.00197167856804905,0.288404556461273,0.512,0.236,1,"14","FAM53B"
0.00197421735620441,0.330358228848955,0.488,0.225,1,"14","AGO4"
0.00197732882580842,0.450388884834077,0.279,0.11,1,"14","IPO5"
0.0019952349155466,0.323996860903863,0.442,0.198,1,"14","CDC123"
0.00200148783441085,0.563885896649943,0.256,0.098,1,"14","MCRS1"
0.0020084556600441,0.622928555680066,0.395,0.182,1,"14","NSF"
0.00200998042731735,0.317327657971084,0.907,0.511,1,"14","MCL1"
0.00202329013352854,0.48024969919551,0.953,0.67,1,"14","S100A9"
0.00202597384809898,0.328014873311809,0.349,0.146,1,"14","KIAA1143"
0.00203406991683844,0.680824901091505,0.302,0.124,1,"14","ASMTL"
0.0020415412503892,0.370470155239637,0.395,0.175,1,"14","YEATS2"
0.00204993544539361,0.51374279050124,0.372,0.164,1,"14","COX17"
0.00205066663090556,0.284494872835693,0.372,0.158,1,"14","PRMT1"
0.00208053214042898,0.407603463410827,0.465,0.214,1,"14","SCAMP2"
0.00209025168198881,0.305884872208478,0.953,0.92,1,"14","RPL23"
0.00209520093423718,0.363729761863179,0.488,0.228,1,"14","RAD50"
0.00211155029913342,0.666291069786201,0.349,0.153,1,"14","MOB4"
0.00212588327620818,0.298114085471589,0.628,0.3,1,"14","HNRNPL"
0.00213363143808139,0.62799131161271,0.279,0.112,1,"14","HACD2"
0.00214921046685844,0.972444543261087,0.349,0.158,1,"14","GNS"
0.0021586239168826,0.722224332983486,0.279,0.113,1,"14","SLC25A24"
0.00217111948048157,0.341869949614507,0.535,0.255,1,"14","PSMD1"
